Type,Category,Question,Answer
Consumer,My Account and Technical Issues,Why did Checkatrade decide to develop the Home Health Report?,"Checkatrade developed the Home Health Report to address the growing need for homeowners to have a more proactive and informed approach to managing their property. Many homeowners face challenges when it comes to maintaining their homes, ensuring safety, and making informed decisions about improvements. With increasing pressure to balance home maintenance, energy efficiency, and property value, there was a clear opportunity to create a tool that empowers homeowners with actionable insights.

The Home Health Report provides a simple, user-friendly way to understand a property’s health by offering tailored safety checks, energy efficiency recommendations, and value-adding suggestions. By integrating this tool with Checkatrade’s trusted network of tradespeople, we make it easier for homeowners to take the next step in addressing maintenance needs or improving their property’s value.

 

Ultimately, Checkatrade’s goal with the Home Health Report is to simplify home management, enhance safety, and improve long-term property value, all while reinforcing our position as the go-to platform for finding quality, vetted tradespeople."
Consumer,My Account and Technical Issues,Who are the target users of the Home Health Report?,"The target users are homeowners, prospective buyers, tenants, and landlords. Homeowners benefit from the safety checks and home maintenance recommendations, prospective buyers use it to assess potential properties, tenants can track their rental property’s condition, and landlords ensure compliance and maintain the value of their properties.

"
Consumer,My Account and Technical Issues,"What specific problems or pain points does the Home Health Report address for homeowners, tenants, prospective buyers, and landlords?","For homeowners, the Home Health Report simplifies home maintenance by providing clear recommendations and connecting them with professionals or identifying jobs that can be done DIY. Not all homeowners truly know how to maintain their property to ensure it remains a safe and happy home and the Home Health Report gives a helpful guide in what to do to maintain, and improve your home.

It helps tenants communicate maintenance needs to landlords and helps identify jobs that might be bigger than a quick fix. For prospective buyers, it allows a deeper understanding of a property’s condition before purchasing. For landlords, it assists with property compliance and ensures long-term property value."
Consumer,My Account and Technical Issues,"What recommendations does the tool make regarding energy efficiency, and how are these recommendations tailored to each property?","Recommendations include upgrading insulation, installing smart thermostats, replacing old boilers, and adding solar panels. These suggestions are tailored based on the property's energy usage, age, and condition, ensuring they’re appropriate for each individual home.
"
Consumer,My Account and Technical Issues,What is the ‘Home Health Check Property Score’?,"Each property has a score assigned to it based on the information provided. The score will be created using the information provided and by reviewing the pictures provided. The score is estimated based on the opportunity to improve the property, in terms of maintenance, safety and energy efficiency.
"
Consumer,My Account and Technical Issues,"What is the Home Health Check Report, and how does it work?","The Home Health Check is a new product from Checkatrade designed to help homeowners, landlords, tenants and prospective buyers better understand their homes and what is needed to ensure there properties are safe and happy homes. The tool will help customers know what urgent maintenance is needed, how they can maximise the energy efficiency and increase the value of their property.
"
Consumer,My Account and Technical Issues,What is included in the report?,"The report categorises recommendations for urgent repairs, energy efficiency improvements, and opportunities to add value to improve your property. Home Health Check will also provide additional details about the job, what trades are needed, and an estimate of the costs involved.

Home Health Check will also provide an extensive overview of the property including the number of bedrooms, bathrooms, floor space and an estimated date of construction. We will use this information, and the information on recent sales nearby to provide an estimate of the current property value."
Consumer,My Account and Technical Issues,The app is frozen what should I do?,"There are a few things to try:

Connect and disconnect from the wifi

Log out and log in again

Restart the app

If this doesn’t work contact customer services at reception@checkatrade.com with the following information:

Whether you used the web or the app

If you used the app which device - ios or Android

Any further detail of exactly what you did before you found the error will help us diagnose and solve. Particularly if you can provide a screen recording or screenshots.

Don’t forget you can also access your account and see your jobs via the web at https://www.checkatrade.com/account

"
Consumer,My Account and Technical Issues,I’m struggling to attach photos to my job.,"To attach photos, tap the add attachments button on the chat in the 'Inbox' tab. You can take a photo straight away or upload one from your library. You may need to give the app permission to access your photo library.

On iOS, visit:

Settings > Privacy & Security > Photos and turn on Checkatrade. 

On Android, visit:

Settings > Apps > Checkatrade > Permissions > Photos and videos and tap ‘Allow’."
Consumer,My Account and Technical Issues,I have a technical issues warning with my app - What should I do?,"There are a few things to try:

Connect and disconnect from the wifi

Log out and log in again

Restart the app

If this doesn’t work contact customer services at reception@checkatrade.com with the following information:

Whether you used the web or the app?

If you used the app which device - ios or Android?

Any further detail of exactly what you did before you found the error will help us diagnose and solve. Particularly if you can provide a screen recording or screenshots.

Don’t forget you can also access your account and see your jobs via the web at https://www.checkatrade.com/account"
